TrialType,CondType,Lag,T1_PA,T2_PA,T1Loc,T2Loc,PreDistractor,PostDistractor,TotalImg,cueWord,T1cue,StimLength,isi,PicFolder,Img1,Img2,Img3,Img4,Img5,Img6,Img7,Img8,Img9,Img10,Img11,Img12,Img13,Img14,Img15,Img16,Img17,T1_Identity,Distractor1,Distractor2,Distractor3,Distractor4,Distractor5,Distractor6,Distractor7,Distractor8,Distractor9,Distractor10,Distractor11,Distractor12,Distractor13,Distractor14,Distractor15,Distractor16,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_1.started,text_1.stopped,Fixation_Cross.started,Fixation_Cross.stopped,Rapid_Image_Present.started,Rapid_Image_Present.stopped,T1Response.started,T1Response.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,T2Response.started,T2Response.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.40266259999771,None,space,0.8075401999958558,24.40266259999771,None,,,,,,,,,,,,,,,,,,,error_words_removed,001,2022-06-14_19h42.27.238,ABstudy,2022.1.4,59.95246968304407,
AB,Lag1_T1P_T2P,1,P,P,8,9,7,5,14,giraffe,Did you see the giraffe?,0.2,0.016,JPG\,pencil01,foosballtable,banana01,lipstick02a,toaster01,grape01,key01,giraffe,blender,pineapple01a,strawberry,teabag,dandelion,paintbrush01,blankImage,blankImage,blankImage,giraffe,pencil01,foosballtable,banana01,lipstick02a,toaster01,grape01,key01,medal02b,mushroom01,pineapple01a,strawberry,teabag,dandelion,paintbrush01,brick,sewingmachine01a,0,0,0,0,,,,,,,29.11559529999795,30.127159700001357,30.110602999993716,30.863048700004583,30.863048700004583,None,31.93468639999628,None,left,0.9509554999967804,31.93468639999628,None,32.910608199992566,None,right,0.230046399999992,32.910608199992566,None,error_words_removed,001,2022-06-14_19h42.27.238,ABstudy,2022.1.4,59.95246968304407,
AB,Lag1_T1P_T2P,1,P,P,6,7,5,5,12,owl,Did you see the owl?,0.2,0.016,JPG\,paintbrush01,eraser,medal02b,hammer01,speaker04,greathornowl,blender,comb02a,plate01b,clock01a,button01,globe,blankImage,blankImage,blankImage,blankImage,blankImage,greathornowl,paintbrush01,eraser,medal02b,hammer01,speaker04,balloon01b,spoon01,comb02a,plate01b,clock01a,button01,globe,sunglasses04,pen04b,foosballtable,lighter01,0,1,1,1,,,,,,,33.1711679,34.177098000000115,34.16045029999805,34.75957490000292,34.75957490000292,None,35.877087600005325,None,left,0.6908026999881258,35.877087600005325,None,36.59384549999959,None,right,0.22533680000924505,36.59384549999959,None,error_words_removed,001,2022-06-14_19h42.27.238,ABstudy,2022.1.4,59.95246968304407,
AB,Lag1_T1P_T2P,1,P,P,6,7,5,3,10,handcuffs,Did you see the handcuffs?,0.2,0.016,JPG\,sewingmachine01a,scarf,carrot01,book01b,eraser,handcuffs,blender,lipstick02a,printer02,garlic01a,blankImage,blankImage,blankImage,blankImage,blankImage,blankImage,blankImage,handcuffs,sewingmachine01a,scarf,carrot01,book01b,eraser,watermelon01,plate01b,lipstick02a,printer02,garlic01a,envelope03a,binoculars01b,tomato01,candy,comb02a,iron01b,0,2,2,2,,,,,,,36.8480120000022,37.86059500000556,37.843800000002375,38.49125589999312,38.49125589999312,None,39.552516099996865,None,left,0.4146965999971144,39.552516099996865,None,39.99368970000069,None,right,0.07226600000285544,39.99368970000069,None,error_words_removed,001,2022-06-14_19h42.27.238,ABstudy,2022.1.4,59.95246968304407,
AB,Lag1_T1P_T2P,1,P,P,7,8,6,5,13,horse,Did you see the horse?,0.2,0.016,JPG\,watermelon01,pencil01,microscope,blueberry01,computerkeyboard02,lamp04a,horse,blender,sock01a,key01,binoculars01b,cauliflower01,ashtray01,blankImage,blankImage,blankImage,blankImage,horse,watermelon01,pencil01,microscope,blueberry01,computerkeyboard02,lamp04a,eraser,clock01a,sock01a,key01,binoculars01b,cauliflower01,ashtray01,fork03c,cymbal,measuringcup01,0,3,3,3,,,,,,,40.098018499993486,41.110645900000236,41.093974200004595,41.739772999993875,41.739772999993875,None,42.88760089999414,None,right,0.9383066000009421,42.88760089999414,None,43.843941600003745,None,right,0.1765469999954803,43.843941600003745,None,error_words_removed,001,2022-06-14_19h42.27.238,ABstudy,2022.1.4,59.95246968304407,
AB,Lag1_T1P_T2P,1,P,P,6,7,5,5,12,snowman,Did you see the snowman?,0.2,0.016,JPG\,comb02a,watch02a,scissors01,dice05a,tableknife02,snowman,blender,printer02,dandelion,spoon01,ashtray01,battery02b,blankImage,blankImage,blankImage,blankImage,blankImage,snowman,comb02a,watch02a,scissors01,dice05a,tableknife02,sponge01,pencil01,printer02,dandelion,spoon01,ashtray01,battery02b,cherry01,binoculars01b,belt02a,toaster01,0,4,4,4,,,,,,,44.04676889999246,45.06028079999669,45.04363139999623,45.65418050000153,45.65418050000153,None,46.73854160000337,None,left,0.4408796999923652,46.73854160000337,None,47.21033839999291,None,right,0.06090159999439493,47.21033839999291,None,error_words_removed,001,2022-06-14_19h42.27.238,ABstudy,2022.1.4,59.95246968304407,
AB,Lag1_T1P_T2P,1,P,P,5,6,4,5,11,squirrel,Did you see the squirrel?,0.2,0.016,JPG\,pencil01,orange,clock01a,sponge01,squirrel,blender,lipstick02a,strawberry,book01b,mushroom01,envelope03a,blankImage,blankImage,blankImage,blankImage,blankImage,blankImage,squirrel,pencil01,orange,clock01a,sponge01,pear01,broccoli01a,lipstick02a,strawberry,book01b,mushroom01,envelope03a,candy,calculator01,dandelion,lighter01,leaf02a,0,5,5,5,,,,,,,47.296066599999904,48.31026420000126,48.29356760000519,48.89102690000436,48.89102690000436,None,49.89740810000512,None,left,0.3126663000002736,49.89740810000512,None,50.22690910000529,None,right,0.035018399998079985,50.22690910000529,None,error_words_removed,001,2022-06-14_19h42.27.238,ABstudy,2022.1.4,59.95246968304407,
AB,Lag1_T1P_T2P,1,P,P,7,8,6,4,12,zipper,Did you see the zipper?,0.2,0.016,JPG\,sandal,fan,printer02,cellphone,mushroom01,candle08b,zipper,blender,lamp04a,hammer01,teabag,stapler03a,blankImage,blankImage,blankImage,blankImage,blankImage,zipper,sandal,fan,printer02,cellphone,mushroom01,candle08b,lipstick02a,celery,lamp04a,hammer01,teabag,stapler03a,globe,computerkeyboard02,comb02a,screw02,0,6,6,6,,,,,,,50.299248299998,51.31020140000328,51.29356039999402,51.90826919999381,51.90826919999381,None,53.00135140000202,None,left,0.5733900999912294,53.00135140000202,None,53.593481399992015,None,right,0.07321020000381395,53.593481399992015,None,error_words_removed,001,2022-06-14_19h42.27.238,ABstudy,2022.1.4,59.95246968304407,
AB,Lag1_T1P_T2P,1,P,P,8,9,7,4,13,bowling ball,Did you see the bowling ball?,0.2,0.016,JPG\,dandelion,pineapple01a,broom01,pen04b,sock01a,sandal,foosballtable,bowlingball,blender,toothbrush03b,celery,candle08b,tennisball01b,blankImage,blankImage,blankImage,blankImage,bowlingball,dandelion,pineapple01a,broom01,pen04b,sock01a,sandal,foosballtable,battery02b,stapler03a,toothbrush03b,celery,candle08b,tennisball01b,lamp04a,pear01,teabag,0,7,7,7,,,,,,,53.69348620000528,54.693927400003304,54.693927400003304,55.30297439999413,55.30297439999413,None,56.3679867000028,None,left,0.8126124999980675,56.3679867000028,None,57.21015309999348,None,right,0.05090869999548886,57.21015309999348,None,error_words_removed,001,2022-06-14_19h42.27.238,ABstudy,2022.1.4,59.95246968304407,
AB,Lag1_T1P_T2P,1,P,P,6,7,5,4,11,bowling pin,Did you see the bowling pin?,0.2,0.016,JPG\,strawberry,leaf02a,clock04,candle01,avocado01,bowlingpin,blender,brownsugar,ring01,lemon02,fork03c,blankImage,blankImage,blankImage,blankImage,blankImage,blankImage,bowlingpin,strawberry,leaf02a,clock04,candle01,avocado01,paintbrush01,orange,brownsugar,ring01,lemon02,fork03c,scissors01,cauliflower01,tableknife02,tennisball01b,thermometer02b,0,8,8,8,,,,,,,57.293507900001714,58.29346230000374,58.276767499992275,58.898135499999626,58.898135499999626,None,59.945869599992875,None,left,0.624426800000947,59.945869599992875,None,60.59351629999583,None,right,0.06253299998934381,60.59351629999583,None,error_words_removed,001,2022-06-14_19h42.27.238,ABstudy,2022.1.4,59.95246968304407,
AB,Lag1_T1P_T2P,1,P,P,5,6,4,5,11,candy cane,Did you see the candy cane?,0.2,0.016,JPG\,shirt02,match,screw02,foosballtable,candycane01a,blender,sewingmachine01a,watch02a,button01,comb02a,dice05a,blankImage,blankImage,blankImage,blankImage,blankImage,blankImage,candycane01a,shirt02,match,screw02,foosballtable,blueberry01,pineapple01a,sewingmachine01a,watch02a,button01,comb02a,dice05a,measuringcup01,lipstick02a,printer02,carrot01,watermelon01,0,9,9,9,,,,,,,60.676771200000076,61.67672279999533,61.67672279999533,62.31413420000172,62.31413420000172,None,63.42065030000231,None,left,0.4433254999894416,63.42065030000231,None,63.893304099998204,None,right,0.023512600004323758,63.893304099998204,None,error_words_removed,001,2022-06-14_19h42.27.238,ABstudy,2022.1.4,59.95246968304407,
AB,Lag1_T1P_T2P,1,P,P,5,6,4,3,9,dolphin,Did you see the dolphin?,0.2,0.016,JPG\,coffeemaker,belt02a,rice,screwdriver04b,dolphin01,blender,candle08b,pear01,feather03a,blankImage,blankImage,blankImage,blankImage,blankImage,blankImage,blankImage,blankImage,dolphin01,coffeemaker,belt02a,rice,screwdriver04b,candle01,apple07,candle08b,pear01,feather03a,match,thermometer02b,printer02,lemon02,violin,medal02b,pineapple01a,0,10,10,10,,,,,,,63.94332659999782,64.9433982000046,64.92667719999736,65.57766049999918,65.57766049999918,None,66.5766769000038,None,left,0.2914965999952983,66.5766769000038,None,66.8933357999922,None,right,0.013439100002869964,66.8933357999922,None,error_words_removed,001,2022-06-14_19h42.27.238,ABstudy,2022.1.4,59.95246968304407,
AB,Lag1_T1P_T2P,1,P,P,5,6,4,3,9,camel,Did you see the camel?,0.2,0.016,JPG\,iron01b,brick,broccoli01a,balloon01b,dromedary,blender,sandal,teabag,scissors01,blankImage,blankImage,blankImage,blankImage,blankImage,blankImage,blankImage,blankImage,dromedary,iron01b,brick,broccoli01a,balloon01b,tomato01,apple07,sandal,teabag,scissors01,pineapple01a,onion,measuringcup01,sock01a,book01b,eraser,calculator01,0,11,11,11,,,,,,,66.92668499999854,67.92667410000286,67.90995859999384,68.5288428000058,68.5288428000058,None,69.55684679999831,None,left,0.3922401000017999,69.55684679999831,None,69.97660510000424,None,right,0.04027870000572875,69.97660510000424,None,error_words_removed,001,2022-06-14_19h42.27.238,ABstudy,2022.1.4,59.95246968304407,
AB,Lag1_T1P_T2P,1,P,P,6,7,5,4,11,football,Did you see the football?,0.2,0.016,JPG\,toaster01,garlic01a,stapler03a,fan,comb02a,football,blender,watch02a,onion,blueberry01,toiletpaper01a,blankImage,blankImage,blankImage,blankImage,blankImage,blankImage,football,toaster01,garlic01a,stapler03a,fan,comb02a,apple07,orange,watch02a,onion,blueberry01,toiletpaper01a,fork03c,cymbal,pineapple01a,scarf,eraser,0,12,12,12,,,,,,,70.04325649999373,71.04340819999925,71.0265486999997,71.65260709999711,71.65260709999711,None,72.82049280000501,None,left,0.3524625999998534,72.82049280000501,None,73.19330099999206,None,right,0.06342049999511801,73.19330099999206,None,error_words_removed,001,2022-06-14_19h42.27.238,ABstudy,2022.1.4,59.95246968304407,
AB,Lag1_T1P_T2P,1,P,P,5,6,4,5,11,golf ball,Did you see the golf ball?,0.2,0.016,JPG\,foosballtable,cigarette,pen04b,birthdaycandle,golfball,blender,binoculars01b,chain01,potato02b,cauliflower01,paintbrush01,blankImage,blankImage,blankImage,blankImage,blankImage,blankImage,golfball,foosballtable,cigarette,pen04b,birthdaycandle,hammer01,rice,binoculars01b,chain01,potato02b,cauliflower01,paintbrush01,ashtray01,scarf,cellphone,calculator01,leaf02a,0,13,13,13,,,,,,,73.27655809999851,74.27649309999833,74.25989459999255,74.91256559999601,74.91256559999601,None,75.95128890000342,76.95974859999842,right,1.027372500000638,75.95128890000342,None,77.00995870000042,None,right,0.13538320000225212,77.00995870000042,None,error_words_removed,001,2022-06-14_19h42.27.238,ABstudy,2022.1.4,59.95246968304407,
AB,Lag1_T1P_T2P,1,P,P,5,6,4,5,11,Guitar case,Did you see the Guitar case?,0.2,0.016,JPG\,broccoli01a,scissors01,toothbrush03b,foosballtable,guitarcase,blender,hammer01,toiletpaper01a,cd,garlic01a,carrot01,blankImage,blankImage,blankImage,blankImage,blankImage,blankImage,guitarcase,broccoli01a,scissors01,toothbrush03b,foosballtable,iron01b,brick,hammer01,toiletpaper01a,cd,garlic01a,carrot01,banana01,envelope03a,battery02b,balloon01b,broom01,0,14,14,14,,,,,,,77.17646580000292,78.17644070000097,78.17644070000097,78.78330599999754,78.78330599999754,None,79.82788399999845,None,left,0.6979534999991301,79.82788399999845,None,80.54334400000516,None,right,0.07028730001184158,80.54334400000516,None,error_words_removed,001,2022-06-14_19h42.27.238,ABstudy,2022.1.4,59.95246968304407,
AB,Lag1_T1P_T2P,1,P,P,6,7,5,3,10,jelly beans,Did you see the jelly beans?,0.2,0.016,JPG\,lipstick02a,cucumber,candle08b,printer02,grape01,jellybean,blender,lighter01,belt02a,balloon01b,blankImage,blankImage,blankImage,blankImage,blankImage,blankImage,blankImage,jellybean,lipstick02a,cucumber,candle08b,printer02,grape01,violin,paintbrush01,lighter01,belt02a,balloon01b,thermometer02b,microscope,cigarette,book01b,pineapple01a,speaker04,0,15,15,15,,,,,,,80.65436830000544,81.6597868999961,81.64303189999191,82.24171770000248,82.24171770000248,None,83.28339399999822,None,right,0.5596581999998307,83.28339399999822,None,83.85972170000605,None,right,0.14306919999944512,83.85972170000605,None,error_words_removed,001,2022-06-14_19h42.27.238,ABstudy,2022.1.4,59.95246968304407,
AB,Lag1_T1P_T2P,1,P,P,5,6,4,3,9,kangaroo,Did you see the kangaroo?,0.2,0.016,JPG\,candle01,shirt02,brick,orange,kangaroo,blender,pizza,thermometer02b,book01b,blankImage,blankImage,blankImage,blankImage,blankImage,blankImage,blankImage,blankImage,kangaroo,candle01,shirt02,brick,orange,greenolive,toothbrush03b,pizza,thermometer02b,book01b,toiletpaper01a,sewingmachine01a,toaster01,candy,cymbal,potato02b,plate01b,0,16,16,16,,,,,,,84.02638559999468,85.02635319999536,85.00975040000048,85.61620720000064,85.61620720000064,None,86.61220659999526,None,left,0.3156758999975864,86.61220659999526,None,86.95974160000333,None,right,0.03736339999886695,86.95974160000333,None,error_words_removed,001,2022-06-14_19h42.27.238,ABstudy,2022.1.4,59.95246968304407,
AB,Lag1_T1P_T2P,1,P,P,8,9,7,4,13,kite,Did you see the kite?,0.2,0.016,JPG\,scissors01,balloon01b,eraser,feather03a,banana01,candle01,measuringcup01,kite,blender,strawberry,pear01,carrot01,globe,blankImage,blankImage,blankImage,blankImage,kite,scissors01,balloon01b,eraser,feather03a,banana01,candle01,measuringcup01,calculator01,thermometer02b,strawberry,pear01,carrot01,globe,baseball01a,leaf02a,spoon01,0,17,17,17,,,,,,,87.02636360000179,88.026308600005,88.00973960000556,88.61414930000319,88.61414930000319,None,89.64917920000153,None,right,0.053000899992184713,89.64917920000153,None,89.72635129999253,90.72629570000572,right,3.6534654999995837,89.72635129999253,None,error_words_removed,001,2022-06-14_19h42.27.238,ABstudy,2022.1.4,59.95246968304407,
